Title,Authors,Journal,Year,PMID
Teriflunomide and Epstein-Barr virus in a Spanish multiple sclerosis cohort: in vivo antiviral activity and clinical response,"Domínguez-Mozo, MI; González-Suárez, I … Arroyo, R; Álvarez-Lafuente, R",Frontiers in Immunology,2023,
"Specific antibodies to EBNA1 epitopes as risk factors for multiple sclerosis, a systematic review","Roshan, HM; Valadan, R; Hosseini, SA; Ajami, A",Journal of Neuroimmunology,2023,
"Socioeconomic, Clinical, and Laboratory Parameters Differentiating Pediatric Patients With MOG Antibody-Associated Disease and Multiple Sclerosis","Florenzo, B; Brenton, JN",Journal of Child Neurology,2023,37122175
Similar geographic distributions of death rates from inflammatory bowel disease and Hodgkin lymphoma or multiple sclerosis,"Sonnenberg, A",United European Gastroenterology Journal,2023,39070198
"Seroreactivity against lytic, latent and possible cross-reactive EBV antigens appears on average 10 years before MS induced preclinical neuroaxonal damage","Jons, D; Grut, V … Sundström, P; Andersen, O","Journal of Neurology, Neurosurgery & Psychiatry",2023,
Roadmap for understanding mechanisms on how Epstein-Barr virus triggers multiple sclerosis and for translating these discoveries in clinical trials,"Lanz, TV; Robinson, WH; Ho, PP; Steinman, L",Clinical & Translational Immunology,2023,
Risk of a first clinical diagnosis of central nervous system demyelination in relation to human herpesviruses in the context of Epstein-Barr virus,"Lucas, RM; Lay, MJ; Grant, J; Cherbuin, N; Toi, CS; Dear, K; Taylor, BV; Dwyer, DE; -; Ponsonby, A",European Journal of Neurology,2023,
Risk factors for multiple sclerosis in the context of Epstein-Barr virus infection,"Hedström, AK",Frontiers in Immunology,2023,37554326
Risk HLA Variants Affect the T-Cell Repertoire in Multiple Sclerosis,"Sorosina, M; Santoro, S; Ferrè, L; Mascia, E; Clarelli, F; Giordano, A; Cannizzaro, M; Lucia, M; Martinelli, V; Filippi, M; Esposito, F",Neurology Neuroimmunology & Neuroinflammation,2023,36792371
Recent advances in understanding the pathogenesis and biological treatment of multiple sclerosis,"BUC, M",Bratislava Medical Journal,2023,37983285
Pathogenic role of autoantibodies at the ependyma in autoimmune disorders of the central nervous system,"Bigotte, M; Groh, AMR; Marignier, R; Stratton, JA",Frontiers in Cellular Neuroscience,2023,37771929
Ocrelizumab Impairs the Phenotype and Function of Memory CD8 + T Cells,"Mathias, A; Pantazou, V; Perriot, S; Canales, M; Jones, S; Oberholster, L; Moulin, M; Fenwick, C; Bernard-Valnet, R; Théaudin, M; Pot, C; Du Pasquier, RA",Neurology Neuroimmunology & Neuroinflammation,2023,
Non-overlapping epitopes on the gHgL-gp42 complex for the rational design of a triple-antibody cocktail against EBV infection,"Hong, J; Zhong, L … Zhang, X; Xia, N",Cell Reports Medicine,2023,37992686
Neurologie : ce qui a changé en 2022,"Bouvy, C; Caranzano, L … Théaudin, M; Du Pasquier, R",Revue Médicale Suisse,2023,36660836
Multiple Sclerosis Pathogenesis: Possible Interplay between Vitamin D Status and Epstein Barr Virus Infection,"Bivona, G; Scazzone, C; Sasso, BL; Giglio, RV; Gambino, CM; Agnello, L; Ciaccio, M",Journal of Integrative Neuroscience,2023,36722238
Multiple Sclerosis Pathogenesis and Updates in Targeted Therapeutic Approaches,"Vasileiou, ES; Fitzgerald, KC",Current Allergy and Asthma Reports,2023,37402064
Mimicking the brain: Epstein-Barr virus and foreign agents as drivers of neuroimmune attack in multiple sclerosis,"Thomas, OG; Olsson, T",Frontiers in Immunology,2023,38022632
Migraine and multiple sclerosis: The final answer?,"Hawkes, CH; Giovannoni, G; Lechner-Scott, J; Levy, M; Yeh, A",Multiple Sclerosis and Related Disorders,2023,37270888
Microbiota markers level in the blood and cerebrospinal fluid of patients with different types of multiple sclerosis and radiologically isolated syndrome,"Omarova, M; Rogovskii, V; Sadekov, T; Sadekova, G; Zhilenkova, O; Boyko, A",S.S. Korsakov Journal of Neurology and Psychiatry,2023,37560841
Mendelian randomisation identifies priority groups for prophylactic EBV vaccination,"Muckian, MD; Wilson, JF; Taylor, GS; Stagg, HR; Pirastu, N",BMC Infectious Diseases,2023,36737699
Markers of Epstein-Barr Virus Infection in Patients with Multiple Sclerosis,"Debuysschere, C; Nekoua, MP; Hober, D",Microorganisms,2023,37317236
Lymph node targeted multi-epitope subunit vaccine promotes effective immunity to EBV in HLA-expressing mice,"Dasari, V; McNeil, LK … DeMuth, PC; Khanna, R",Nature Communications,2023,37553346
Is there a role for herpes simplex virus type 1 in multiple sclerosis?,"Duarte, LF; Gatica, S; Castillo, A; Kalergis, AM; Bueno, SM; Riedel, CA; González, PA",Microbes and Infection,2023,
Is multiple sclerosis a glymphaticopathy?,"Alghanimy, AA; Giovannoni, G; Lechner-Scott, J; Levy, M; Yeh, EA; Hawkes, CH",Multiple Sclerosis and Related Disorders,2023,
Investigating the potential link between lunar cycle and multiple sclerosis relapses: a call for further studies,"Yousfi, N; Mrabet, S; Ben Saad, H; Chamari, K",Libyan Journal of Medicine,2023,
Interferon β1a treatment does not influence serum Epstein-Barr virus antibodies in patients with multiple sclerosis,"Lie, IA; Rød, BE; Kvistad, SS; Holmøy, T; Myhr, K; Torkildsen; Wergeland, S",Multiple Sclerosis and Related Disorders,2023,36701908
Interaction of the viral infectious agents in the development and exacerbation of the multiple sclerosis,"Mahdavi, S; Ozma, M; Azadi, A; Sadeghi, J; Bannazadeh, BH; Ahangar, OM",Infezioni in Medicina,2023,38075420
Inflammation and Epstein-Barr Virus at the Crossroads of Multiple Sclerosis and Post-Acute Sequelae of COVID-19 Infection,"Rousseau, BA; Bhaduri-McIntosh, S",Viruses,2023,37112929
Infectious mononucleosis is associated with an increased incidence of Crohn’s disease: results from a cohort study of 31 862 outpatients in Germany,"Loosen, SH; Kostev, K; Schöler, D; Orth, H; Freise, NF; Jensen, BO; May, P; Bode, JG; Roderburg, C; Luedde, T",European Journal of Gastroenterology & Hepatology,2023,
Ineffective control of Epstein-Barr-virus-induced autoimmunity increases the risk for multiple sclerosis,"Vietzen, H; Berger, SM; Kühner, LM; Furlano, PL; Bsteh, G; Berger, T; Rommer, P; Puchhammer-Stöckl, E",Cell,2023,38091993
Increased Risk for Acute Periapical Abscesses in Multiple Sclerosis Patients and the Possible Association with Epstein-Barr Virus,"Rotstein, I; Katz, J",Journal of Endodontics,2023,
In vitro Effect of EBV Infection on HERV-K18 env Expression in the Presence and Absence of Vitamin D in Multiple Sclerosis Patients.,"Latifi, T; Teymoori-Rad, M; Nejati, A; Shahmahmoodi, S; Rezaei, F; Marashi, S",Iranian biomedical journal,2023,38468371
Immunoglobulin γ marker genes as effect modifiers of Epstein-Barr virus‐multiple sclerosis association,"Pandey, JP",Immunology,2023,
Humoral response to Epstein-Barr virus in patients with multiple sclerosis treated with B cell depletion therapy,"Rød, BE; Wergeland, S; Bjørnevik, K; Holmøy, T; Ulvestad, E; Njølstad, G; Myhr, K; Torkildsen",Multiple Sclerosis and Related Disorders,2023,37804765
Human herpesvirus 6A and axonal injury before the clinical onset of multiple sclerosis,"Grut, V; Biström, M … Nilsson, S; Sundström, P",Brain,2023,37930324
"Higher frequency of Human herpesvirus-6 (HHV-6) viral DNA simultaneously with low frequency of Epstein-Barr virus (EBV) viral DNA in a cohort of multiple sclerosis patients from Rio de Janeiro, Brazil","Pereira, JG; Leon, LAA; de Almeida, NAA; Raposo-Vedovi, JV; Fontes-Dantas, FL; Farinhas, JGD; Pereira, VCSR; Alves-Leon, SV; de Paula, VS",Multiple Sclerosis and Related Disorders,2023,
High Epstein-Barr virus capsid antigen IgG level associates with the carriership of CD8+ T cell somatic mutations in the STAT3 SH2 domain,"Lehikoinen, J; Valori, M; Jääskeläinen, AJ; Laakso, SM; Arstila, TP; Tienari, PJ",Clinical Immunology,2023,37572949
From bedside to bench: how existing therapies inform the relationship between Epstein-Barr virus and multiple sclerosis,"Dyer, Z; Tscharke, D; Sutton, I; Massey, J",Clinical & Translational Immunology,2023,36844913
From Animal Models to Clinical Trials: The Potential of Antimicrobials in Multiple Sclerosis Treatment,"Raghib, MF; Bernitsas, E",Biomedicines,2023,38002068
Factors associated with depressive mood at the onset of multiple sclerosis - an analysis of 781 patients of the German NationMS cohort,"Salmen, A; Hoepner, R … Zipp, F; Gold, R",Therapeutic Advances in Neurological Disorders,2023,37692259
Exploring the cost-effectiveness of EBV vaccination to prevent multiple sclerosis in an Australian setting,"Palmer, AJ; Zhao, T; Taylor, BV; van der Mei, I; Campbell, JA","Journal of Neurology, Neurosurgery & Psychiatry",2023,
"Experimental encephalomyelitis at age 90, still relevant and elucidating how viruses trigger disease","Steinman, L; Patarca, R; Haseltine, W",Journal of Experimental Medicine,2023,
Evaluation of the prevalence of bovine leukemia virus DNA in peripheral blood mononuclear cells of multiple sclerosis patients,"Jeda, AS; Zarei, A; Ghabeshi, S; Tabibzadeh, A; Lotfi, M; Etemadifar, M; Niya, MHK; Ghorbanlou, M; Esghaei, M",IJID Regions,2023,37351152
Epstein-Barr virus as a leading cause of multiple sclerosis: mechanisms and implications,"Bjornevik, K; Münz, C; Cohen, JI; Ascherio, A",Nature Reviews Neurology,2023,36759741
Epstein-Barr virus as a cause of multiple sclerosis: opportunities for prevention and therapy,"Aloisi, F; Giovannoni, G; Salvetti, M",The Lancet Neurology,2023,36764322
Epstein-Barr virus and multiple sclerosis: the dawn of a new age,"Phan, TG",Clinical & Translational Immunology,2023,
Epstein-Barr virus and multiple sclerosis: moving from questions of association to questions of mechanism,"Thomas, OG; Rickinson, A; Palendira, U",Clinical & Translational Immunology,2023,
Epstein-Barr virus and genetic risk variants as determinants of T-bet+ B cell-driven autoimmune diseases,"Bogers, L; Kuiper, KL; Smolders, J; Rip, J; van Luijn, MM",Immunology Letters,2023,37451321
Epstein-Barr Virus-Positive Lymphomas Exploit Ectonucleotidase Activity To Limit Immune Responses and Prevent Cell Death,"Lange, PT; Damania, B",mBio,2023,36786572
Epstein-Barr Virus and Multiple Sclerosis: A Convoluted Interaction and the Opportunity to Unravel Predictive Biomarkers,"Ortega-Hernandez, O; Martínez-Cáceres, EM; Presas-Rodríguez, S; Ramo-Tello, C",International Journal of Molecular Sciences,2023,37108566
Epstein-Barr Virus and Human Endogenous Retrovirus in Japanese Patients with Autoimmune Demyelinating Disorders,"Cossu, D; Tomizawa, Y; Sechi, LA; Hattori, N",International Journal of Molecular Sciences,2023,38138980
Epstein Barr Virus and Multiple Sclerosis: Is a Cure Possible?,"Benoit, RY; Moore, CS",Viral Immunology,2023,
Epigallocatechin Gallate: A Multifaceted Molecule for Neurological Disorders and Neurotropic Viral Infections,"Rani, A; Saini, V; Patra, P; Prashar, T; Pandey, RK; Mishra, A; Jha, HC",ACS Chemical Neuroscience,2023,37590965
Epidemiological and mechanistic links between Epstein-Barr virus and multiple sclerosis,"SATO, Y",Uirusu,2023,39343549
Editorial: Environmental factors influencing the immune functions during multiple sclerosis,"Smolders, J; Steelman, AJ; Inoue, M",Frontiers in Immunology,2023,36793707
EBV and MS: The evidence is growing stronger,"Farrell, PJ",Cell,2023,38134873
EBV and Lymphomagenesis,"Sausen, DG; Basith, A; Muqeemuddin, S",Cancers,2023,37046794
EBNA1 Inhibitors Block Proliferation of Spontaneous Lymphoblastoid Cell Lines From Patients With Multiple Sclerosis and Healthy Controls,"Monaco, MCG; Soldan, SS … Lieberman, PM; Jacobson, S",Neurology Neuroimmunology & Neuroinflammation,2023,37562974
Diversification and expansion of the EBV-reactive cytotoxic T lymphocyte repertoire following autologous haematopoietic stem cell transplant for multiple sclerosis,"Massey, J; Artuz, C; Dyer, Z; Jackson, K; Khoo, M; Visweswaran, M; Withers, B; Moore, J; Ma, D; Sutton, I",Clinical Immunology,2023,37495004
Dimethyl Fumarate Treatment Reduces the Amount but Not the Avidity of the Epstein-Barr Virus Capsid-Antigen-Specific Antibody Response in Multiple Sclerosis: A Pilot Study,"Castellazzi, M; Ferri, C; Piola, A; Permunian, S; Buscemi, G; Laudisi, M; Baldi, E; Pugliatti, M",International Journal of Molecular Sciences,2023,36675014
Cross-reactive EBNA1 immunity targets alpha-crystallin B and is associated with multiple sclerosis,"Thomas, OG; Bronge, M … Olsson, T; Kockum, I",Science Advances,2023,37196088
COVID-19 and Multiple Sclerosis: A Complex Relationship Possibly Aggravated by Low Vitamin D Levels,"Fernandes de Souza, WD; Fonseca, DMd; Sartori, A",Cells,2023,
Association of Epstein-Barr Virus (EBV) and Human Endogenous Retroviruses (HERV) with Multiple Sclerosis in Northwest of Iran,"Mafi, S; Savadi Oskoee, D; Bannazadeh Baghi, H; Azadi, A; Ahangar Oskouee, M",International Journal of Inflammation,2023,
Association between human herpesviruses and multiple sclerosis: A systematic review and meta-analysis,"Khalesi, Z; Tamrchi, V … Kiani, SJ; Ghorbani, S",Microbial Pathogenesis,2023,36775211
"Association between atopic dermatitis, autoimmune illnesses, Epstein-Barr virus, and cytomegalovirus","Fuxench, ZCC; Mitra, N; Hoffstad, OJ; Phillips, EJ; Margolis, DJ",Archives of Dermatological Research,2023,37233764
Association analysis between symptomology and herpesvirus IgG antibody concentrations in myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) and multiple sclerosis,"Domingues, TD; Malato, J … Lacerda, E; Sepúlveda, N",Heliyon,2023,37519635
"Anti‐EBV antibodies: Roles in diagnosis, pathogenesis, and antiviral therapy","Xie, C; Zhong, L; Bu, G; Zhao, G; Yuan, B; Liu, Y; Sun, C; Zeng, M",Journal of Medical Virology,2023,37212266
Antibody Content against Epstein-Barr Virus in Blood Extracellular Vesicles Correlates with Disease Activity and Brain Volume in Patients with Relapsing-Remitting Multiple Sclerosis,"Fernández-Fournier, M; López-Molina, M; Torres Iglesias, G; Botella, L; Chamorro, B; Laso-García, F; Puertas, I; Tallón Barranco, A; Otero-Ortega, L; Frank-García, A; Díez-Tejedor, E",International Journal of Molecular Sciences,2023,37762495
Antibodies to expanded virus antigen panels show elevated diagnostic sensitivities in multiple sclerosis and optic neuritis,"Gåsland, H; Trier, NH; Kyllesbech, C; Draborg, AH; Slibinskas, R; Ciplys, E; Frederiksen, JL; Houen, G",Immunology Letters,2023,36764611
An Updated Review of Epigenetic-Related Mechanisms and their Contribution to Multiple Sclerosis Disease,"Safaralizadeh, R; Eslahi, M; Nematbakhsh, N; Dastmalchi, N; Teimourian, S",CNS & Neurological Disorders - Drug Targets,2023,35043771
An Epstein-Barr virus protein interaction map reveals NLRP3 inflammasome evasion via MAVS UFMylation,"Yiu, SPT; Zerbe, C; Vanderwall, D; Huttlin, EL; Weekes, MP; Gewurz, BE",Molecular Cell,2023,37311461
After the Infection: A Survey of Pathogens and Non-communicable Human Disease,"Lape, M; Schnell, D; Parameswaran, S; Ernst, K; O’Connor, S; Salomonis, N; Martin, LJ; Harnett, BM; Kottyan, LC; Weirauch, MT",medRxiv : the preprint server for health sciences,2023,37745430
Adrenoceptors as potential target for add-on immunomodulatory therapy in multiple sclerosis,"Pilipović, I; Stojić-Vukanić, Z; Leposavić, G",Pharmacology & Therapeutics,2023,
Adoptive T‐cell therapy targeting Epstein-Barr virus as a treatment for multiple sclerosis,"Smith, C; Khanna, R",Clinical & Translational Immunology,2023,36960148
A phase 2a open-label clinical trial to determine the effect of famciclovir on EBV activity as measured by EBV shedding in the saliva of patients with multiple sclerosis,"Dobson, R; Holden, D; Vickaryous, N; Bestwick, J; George, K; Sayali, T; Bianchi, L; Wafa, M; Gold, J; Giovannoni, G",Multiple Sclerosis Journal,2023,38131621
mRNA-Based Vaccine Designing against Epstein-Barr Virus to Induce an Immune Response Using Immunoinformatic and Molecular Modelling Approaches,"Althurwi, HN; Alharthy, KM; Albaqami, FF; Altharawi, A; Javed, MR; Muhseen, ZT; Tahir ul Qamar, M",International Journal of Environmental Research and Public Health,2022,36293632
ggmsa: a visual exploration tool for multiple sequence alignment and associated data,"Zhou, L; Feng, T … Dai, Z; Yu, G",Briefings in Bioinformatics,2022,
ZEB1: Catalyst of immune escape during tumor metastasis,"Lu, J; Fei, F; Wu, C; Mei, J; Xu, J; Lu, P",Biomedicine & Pharmacotherapy,2022,36076506
What do animal models tell us about the role of EBV in the pathogenesis of multiple sclerosis?,"Hassani, A; Khan, G",Frontiers in Immunology,2022,36466898
Virus-specific antibody indices may supplement the total IgG index in diagnostics of multiple sclerosis,"Kyllesbech, C; Trier, N; Slibinskas, R; Ciplys, E; Tsakiri, A; Frederiksen, J; Houen, G",Journal of Neuroimmunology,2022,35477126
Viral Proteins with PxxP and PY Motifs May Play a Role in Multiple Sclerosis,"Pi, K; Sang, Y; Straus, SK",Viruses,2022,35215874
VirScan: High-throughput Profiling of Antiviral Antibody Epitopes,"Shrock, E; Shrock, C; Elledge, SJ",BIO-PROTOCOL,2022,35937932
Transcriptional and post-transcriptional regulation of checkpoint genes on the tumour side of the immunological synapse,"Dobosz, P; Stempor, PA; Ramírez Moreno, M; Bulgakova, NA",Heredity,2022,35459932
Thermodynamic and structural characterization of an EBV infected B-cell lymphoma transcriptome,"O’Leary, CA; Tompkins, VS; Rouse, WB; Nam, G; Moss, WN",NAR Genomics and Bioinformatics,2022,
Therapeutic Role of Vitamin D in Multiple Sclerosis: An Essentially Contested Concept,"Fatima, M; Lamis, A; Siddiqui, SW; Ashok, T; Patni, N; Fadiora, OE",Cureus,2022,
The role of the complement system in Multiple Sclerosis: A review,"Saez-Calveras, N; Stuve, O",Frontiers in Immunology,2022,36032156
"The role of human endogenous retroviruses (HERVs) in Multiple Sclerosis and the plausible interplay between HERVs, Epstein-Barr virus infection, and vitamin D","Latifi, T; Zebardast, A; Marashi, SM",Multiple Sclerosis and Related Disorders,2022,35158423
The gut microbiome molecular mimicry piece in the multiple sclerosis puzzle,"Elsayed, NS; Aston, P; Bayanagari, VR; Shukla, SK",Frontiers in Immunology,2022,36045671
The enigmatic links between Epstein-Barr virus infection and multiple sclerosis,"Tyler, KL",Journal of Clinical Investigation,2022,
The elimination of circulating Epstein-Barr virus infected B cells underlies anti-CD20 monoclonal antibody activity in multiple sclerosis: A hypothesis,"Berger, JR; Kakara, M",Multiple Sclerosis and Related Disorders,2022,35151986
The Potential for EBV Vaccines to Prevent Multiple Sclerosis,"Maple, PA; Ascherio, A; Cohen, JI; Cutter, G; Giovannoni, G; Shannon-Lowe, C; Tanasescu, R; Gran, B",Frontiers in Neurology,2022,35812097
The Central Role of the Ubiquitin-Proteasome System in EBV-Mediated Oncogenesis,"Pei, Y; Robertson, ES",Cancers,2022,35158879
Tfh-cell-derived interleukin 21 sustains effector CD8+ T cell responses during chronic viral infection,"Zander, R; Kasmani, MY … Zajac, A; Cui, W",Immunity,2022,35216666
Targeting Protein Degradation Pathways in Tumors: Focusing on their Role in Hematological Malignancies,"Wolska-Washer, A; Smolewski, P",Cancers,2022,35954440
Targeting Epstein-Barr virus to treat MS,"Chitnis, T; Weiner, HL",Med,2022,35590190
TMEM106A inhibits enveloped virus release from cell surface,"Mao, D; Yan, F; Zhang, X; Gao, G",iScience,2022,35198896
Sublethal cytochrome c release generates drug-tolerant persister cells,"Kalkavan, H; Chen, MJ; Crawford, JC; Quarato, G; Fitzgerald, P; Tait, SW; Goding, CR; Green, DR",Cell,2022,36055199
Strong evidence that Epstein-Barr virus infection triggers multiple sclerosis,"Welberg, L",Nature Neuroscience,2022,35132232
"Similar Time Trends of Hodgkin Lymphoma, Multiple Sclerosis, and Inflammatory Bowel Disease","Sonnenberg, A",Digestive Diseases and Sciences,2022,36168073
Siblings reduce multiple sclerosis risk by preventing delayed primary Epstein-Barr virus infection,"Rostgaard, K; Nielsen, NM; Melbye, M; Frisch, M; Hjalgrim, H",Brain,2022,
Sex-Specific Environmental Impacts on Initiation and Progression of Multiple Sclerosis,"Leffler, J; Trend, S; Gorman, S; Hart, PH",Frontiers in Neurology,2022,35185777
Serum IgG levels to Epstein-Barr and measles viruses in patients with multiple sclerosis during natalizumab and interferon beta treatment,"Persson Berg, L; Eriksson, M; Longhi, S; Kockum, I; Warnke, C; Thomsson, E; Bäckström, M; Olsson, T; Fogdell-Hahn, A; Bergström, T",BMJ Neurology Open,2022,35978722
Seropositive Neuromyelitis Optica in a Case of Undiagnosed Ankylosing Spondylitis: A Neuro-Rheumatological Conundrum,"Ghosh MD, R; Roy, D; León-Ruiz, M; Das, S; Dubey, S; Benito-León, J",Qatar Medical Journal,2022,
Revisiting the antiviral theory to explain interferon-beta's effectiveness for relapsing multiple sclerosis,"Sedaghat, N; Etemadifar, M",Multiple Sclerosis and Related Disorders,2022,36116383
Reactivity of Rheumatoid Arthritis-Associated Citrulline-Dependent Antibodies to Epstein-Barr Virus Nuclear Antigen1-3,"Fanelli, I; Rovero, P; Hansen, PR; Frederiksen, JL; Houen, G; Trier, NH",Antibodies,2022,35323194
RUNX2 recruits the NuRD(MTA1)/CRL4B complex to promote breast cancer progression and bone metastasis,"Yin, X; Teng, X; Ma, T; Yang, T; Zhang, J; Huo, M; Liu, W; Yang, Y; Yuan, B; Yu, H; Huang, W; Wang, Y",Cell Death & Differentiation,2022,35534547
Quiescent cancer cells resist T cell attack by forming an immunosuppressive niche,"Baldominos, P; Barbera-Mourelle, A … Hemberg, M; Agudo, J",Cell,2022,35447074
"Prevention of MS Requires Intervention on the Causes of the Disease: Reconciling Genes, Epigenetics, and Epstein Barr Virus","Kearns, PKA",Frontiers in Neurology,2022,35273557
Pioneer transcription factors are associated with the modulation of DNA methylation patterns across cancers,"Lemma, RB; Fleischer, T; Martinsen, E; Ledsaak, M; Kristensen, V; Eskeland, R; Gabrielsen, OS; Mathelier, A",Epigenetics & Chromatin,2022,35440061
Nuclear receptor Nr1d1 alleviates asthma by abating GATA3 gene expression and Th2 cell differentiation,"Tiwari, D; Ahuja, N; Kumar, S; Kalra, R; Nanduri, R; Gupta, S; Khare, AK; Bhagyaraj, E; Arora, R; Gupta, P",Cellular and Molecular Life Sciences,2022,35596832
Nuclear Cytoskeleton in Virus Infection,"Horníková, L; Bruštíková, K; Huérfano, S; Forstová, J",International Journal of Molecular Sciences,2022,35009004
No evidence for an association between alcohol consumption and Multiple Sclerosis risk: a UK Biobank study,"Dreyer-Alster, S; Achiron, A; Giovannoni, G; Jacobs, BM; Dobson, R",Scientific Reports,2022,
New drugs for multiple sclerosis: new treatment algorithms,"Cree, BA; Hartung, H; Barnett, M",Current Opinion in Neurology,2022,35674067
New Evidence for Epstein-Barr Virus Infection as a Cause of Multiple Sclerosis,"Hacohen, Y; Ciccarelli, O",Neurology,2022,35145009
"Neurological Disease-Affected Patients, including Multiple Sclerosis, Are Poor Responders to BKPyV, a Human Polyomavirus","Bononi, I; Mazzoni, E; Pietrobon, S; Iaquinta, MR; Caselli, A; Torreggiani, E; Pugliatti, M; Casetta, I; Castellazzi, M; Granieri, E; Martini, F; Tognon, M",Journal of Immunology Research,2022,35928630
Multiple sclerosis risk variants influence the peripheral B‐cell compartment early in life in the general population,"de Mol, CL; van Luijn, MM; Kreft, KL; Looman, KIM; van Zelm, MC; White, T; Moll, HA; Smolders, J; Neuteboom, RF",European Journal of Neurology,2022,36169606
Multiple sclerosis genetic and non-genetic factors interact through the transient transcriptome,"Umeton, R; Bellucci, G … Salvetti, M; Ristori, G",Scientific Reports,2022,35534508
Mono a Mano: ZBP1’s Love-Hate Relationship with the Kissing Virus,"Herbert, A; Fedorov, A; Poptsova, M",International Journal of Molecular Sciences,2022,
Markers of Epstein-Barr virus and Human Herpesvirus-6 infection and multiple sclerosis clinical progression,"Tao, C; Simpson-Yap, S; Taylor, B; Blizzard, L; Lucas, R; Ponsonby, A; Broadley, S; van der Mei, I",Multiple Sclerosis and Related Disorders,2022,35131728
MOGandAQP4Antibodies among Children with Multiple Sclerosis and Controls,"Gaudioso, CM; Mar, S … Flanagan, EP; -",Annals of Neurology,2022,
MINI-review of Epstein-Barr virus involvement in multiple sclerosis etiology and pathogenesis,"Aloisi, F; Cross, AH",Journal of Neuroimmunology,2022,35931008
MED12 is overexpressed in glioblastoma patients and serves as an oncogene by targeting the VDR/BCL6/p53 axis,"Srivastava, S; Makala, H; Sharma, V; Suri, V; Sarkar, C; Kulshreshtha, R",Cellular and Molecular Life Sciences,2022,
Longitudinal analysis reveals high prevalence of Epstein-Barr virus associated with multiple sclerosis,"Bjornevik, K; Cortese, M; Healy, BC; Kuhle, J; Mina, MJ; Leng, Y; Elledge, SJ; Niebuhr, DW; Scher, AI; Munger, KL; Ascherio, A",Science,2022,35025605
Liquid Phase Partitioning in Virus Replication: Observations and Opportunities,"Wu, C; Holehouse, AS; Leung, DW; Amarasinghe, GK; Dutch, RE",Annual Review of Virology,2022,35709511
Linking Epstein-Barr virus infection to multiple sclerosis,"Bordon, Y",Nature Reviews Immunology,2022,35140366
Le virus d’Epstein-Barr,"Manet, E; Gruffat, H",médecine/sciences,2022,
Interrogation of cancer gene dependencies reveals paralog interactions of autosome and sex chromosome-encoded genes,"Köferle, A; Schlattl, A … Mair, B; Neumüller, RA",Cell Reports,2022,35417719
Influence of Type I Interferons in Gammaherpesvirus-68 and Its Influence on EAE Enhancement,"Márquez, AC; Croft, C; Shanina, I; Horwitz, MS",Frontiers in Immunology,2022,35874728
"Infectious mononucleosis is associated with an increased incidence of multiple sclerosis: Results from a cohort study of 32,116 outpatients in Germany","Loosen, SH; Doege, C; Meuth, SG; Luedde, T; Kostev, K; Roderburg, C",Frontiers in Immunology,2022,
Infectious agents breaking the immunological tolerance: The holy grail in rheumatoid arthritis reconsidered,"Gremese, E; Tolusso, B; Bruno, D; Alivernini, S; Ferraccioli, G",Autoimmunity Reviews,2022,35452849
Infection with Epstein Barr virus increases risk of multiple sclerosis,"Barnes, K",Communications Medicine,2022,35603285
Infection profile of immune-modulatory drugs used in autoimmune diseases: analysis of summary of product characteristic data,"Dey, M; Bechman, K; Zhao, S; Fragoulis, GE; Smith, C; Cope, A; Nikiphorou, E; Hyrich, KL; Galloway, J",RMD Open,2022,36418084
Increased expression of PD-1 in CD8 + CD3 + T cells correlates with EBV viral load in MS patients,"Najmadini, A; Mohammadi, MM; Langroudi, L; Meimand, HE; Mahmoodi, M; Mirzaei, M",Journal of NeuroVirology,2022,36243825
Increased cytomegalovirus immune responses at disease onset are protective in the long-term prognosis of patients with multiple sclerosis,"Comabella, M; Tintore, M; Sao Avilés, A; Carbonell-Mirabent, P; Malhotra, S; Rovira, A; Fissolo, N; Lünemann, JD; Montalban, X","Journal of Neurology, Neurosurgery & Psychiatry",2022,36344261
Immunogenicity of the Envelope Surface Unit of Human Endogenous Retrovirus K18 in Mice,"Ilse, V; Scholz, R; Wermann, M; Naumann, M; Staege, MS; Roßner, S; Cynis, H",International Journal of Molecular Sciences,2022,35955468
Immunization with a self-assembling nanoparticle vaccine displaying EBV gH/gL protects humanized mice against lethal viral challenge,"Malhi, H; Homad, LJ … King, NP; McGuire, AT",Cell Reports Medicine,2022,35705092
Identification of multiple sclerosis-related genes regulated by EBV-encoded microRNAs in B cells,"Rang, X; Liu, Y; Wang, J; Wang, Y; Xu, C; Fu, J",Multiple Sclerosis and Related Disorders,2022,
Identification of host-pathogen-disease relationships using a scalable multiplex serology platform in UK Biobank,"Mentzer, AJ; Brenner, N … Hill, AVS; Waterboer, T",Nature Communications,2022,35383168
IRF7 expression correlates with HIV latency reversal upon specific blockade of immune activation,"Ezeonwumelu, IJ; García-Vidal, E … Riveira-Muñoz, E; Ballana, E",Frontiers in Immunology,2022,36131914
Human Herpesvirus 6A Is a Risk Factor for Multiple Sclerosis,"Lundström, W; Gustafsson, R",Frontiers in Immunology,2022,
How does Epstein-Barr virus trigger MS?,"Kuchroo, VK; Weiner, HL",Immunity,2022,35263566
How Epstein-Barr virus envelope glycoprotein gp350 tricks the CR2? A molecular dynamics study,"Bingöl, EN; Taştekil, I; Yay, C; Keskin, N; Ozbek, P",Journal of Molecular Graphics and Modelling,2022,35500362
