Title,Authors,Journal,Year,PMID
Knockoff-Based Fine Mapping of MS-Associated SNPs in Sardinian Trios,"Baldrighi, GN; Nova, A; Ekstrøm, CT; Piras, ML; Saddi, MV; Bernardinelli, L; Fazia, T",Biochemical Genetics,2025,40884622
Isolated Central Nervous System FHL3 in an Asian Pediatric Patient: A Case Report and Literature Review,"Zhang, Z; Duan, H; Zhang, C; He, F; Yin, F; Yang, L; Peng, J",Journal of Inflammation Research,2025,41064495
Is there a link between multiple sclerosis and Alzheimer disease? A critical note,"Jellinger, KA",Journal of Neural Transmission,2025,
Infectious mononucleosis is a more realistic target for preventing multiple sclerosis,"Giovannoni, G; Hawkes, CH; Lechner-Scott, J; Yeh, EA; Levy, M",Multiple Sclerosis and Related Disorders,2025,
Impact of lifestyle factors post-infectious mononucleosis on multiple sclerosis risk,"Johansson, E; Olsson, T; Alfredsson, L; Hedström, AK",European Journal of Epidemiology,2025,40038142
Immunology of multiple sclerosis: an update,"Kirschner, P; Pawlitzki, M; Hartung, H; Meuth, SG",Current Opinion in Neurology,2025,40326581
Immune Modulatory Effects of Vitamin D on Herpesvirus Infections,"Galdo-Torres, D; Andreu, S; Caballero, O; Hernández-Ruiz, I; Ripa, I; Bello-Morales, R; López-Guerrero, JA",International Journal of Molecular Sciences,2025,40004230
Identification and catalog of viral transcriptional regulators in human diseases,"Citu, C; Chang, L; Manuel, AM; Enduru, N; Zhao, Z",iScience,2025,
Human herpesvirus 7 and the risk of developing multiple sclerosis,"Ingvarsson, J; Grut, V; Gustafsson, R; Biström, M; Lambert, L; Michels, BE; Bergström, T; Flamand, L; Waterboer, T; Sundström, P",Brain Communications,2025,41523194
"Human Alpha Herpesviruses Infections (HSV1, HSV2, and VZV), Alzheimer’s Disease, and the Potential Benefits of Targeted Treatment or Vaccination-A Virological Perspective","Maple, PAC; Hosseini, AA",Vaccines,2025,40573903
Host Genetic Architecture between Epstein-Barr Virus Activity and Multiple Sclerosis Reveals Shared Pathways,"Yasumizu, Y; Kim, N … Falcone, GJ; Hafler, DA",medRxiv : the preprint server for health sciences,2025,41445616
Herpesvirus-host interactions in neurological diseases: the immunogenetic role of HLA-E,"Graninger, M; Puchhammer-Stöckl, E; Vietzen, H",Journal of Virology,2025,41283666
"HHV-6 and EBV reactivation in relapsing remitting multiple sclerosis: Disability, progression, and inflammation links","Almulla, AF; Vojdani, A; Zhang, Y; Vojdani, E; Maes, M",iScience,2025,
